depth,degree,lambda_lb,lambda_ub,method,ll_diff,rel_mu_err,rel_lambda_err,time,infeasible_lambdas,infeasible_type
4,5,0.5,1,fullback_mm,2.5028,0.39559,0.18639,90.2549,0,0
4,5,0.5,1,gdmu,5.3073,0.3275,0.09218,178.3511,0,0
4,5,0.5,1,knitro,50.3074,1.466,0.15314,83.2646,0,0
4,6,0.5,1,fullback_mm,2.6826,0.41747,0.24418,180.678,0,0
4,6,0.5,1,gdmu,11.0192,0.3354,0.10776,85.6334,0,0
4,6,0.5,1,knitro,85.5228,1.5104,0.15201,354.4552,1,10
4,7,0.5,1,fullback_mm,2.3316,0.42139,0.24005,385.5511,0,0
4,7,0.5,1,gdmu,46.5786,0.34336,0.093957,181.4639,0,0
4,7,0.5,1,knitro,44.5292,1.3502,0.13964,1403.5664,1,10
4,8,0.5,1,fullback_mm,2.3612,0.43977,0.28148,821.9931,0,0
4,8,0.5,1,gdmu,68.7943,0.34376,0.067906,361.3356,0,0
4,8,0.5,1,knitro,97.7414,1.4467,0.14873,5060.4217,0,0
5,5,0.5,1,fullback_mm,3.485,0.41527,0.23675,744.2171,0,0
5,5,0.5,1,gdmu,18.7372,0.33815,0.085944,298.2097,0,0
5,5,0.5,1,knitro,37.0627,1.2915,0.15392,4055.8675,1,20
5,6,0.5,1,fullback_mm,3.0947,0.43324,0.26909,2237.5852,0,0
5,6,0.5,1,gdmu,35.6543,0.33738,0.086322,1150.3028,0,0
5,6,0.5,1,knitro,21.4063,1.0663,0.15492,11240.9119,1,20
5,7,0.5,1,fullback_mm,2.9006,0.44868,0.29426,6780.4906,0,0
5,7,0.5,1,gdmu,42.1729,0.3408,0.082896,3670.6961,0,0
5,7,0.5,1,knitro,652.6942,1,0.34058,15964.6935,0,0
5,8,0.5,1,fullback_mm,2.4328,0.4512,0.29083,23372.6765,0,0
5,8,0.5,1,gdmu,109.3613,0.34877,0.06181,15978.0122,0,0
