depth,degree,lambda_lb,lambda_ub,method,ll_diff,rel_mu_err,rel_lambda_err,time,infeasible_lambdas,infeasible_type
4,5,0.5,1,fullback_mm,2.4912,0.40273,0.19808,94.6115,0,0
4,5,0.5,1,gdmu,2.5176,0.33853,0.10835,196.1139,0,0
4,5,0.5,1,knitro,1986.3007,1.9009,0.15626,87.5099,0,0
4,6,0.5,1,fullback_mm,2.837,0.42417,0.25189,194.1093,0,0
4,6,0.5,1,gdmu,18.4461,0.3392,0.093739,91.7276,0,0
4,6,0.5,1,knitro,72.4413,1.477,0.14453,384.6575,1,10
4,7,0.5,1,fullback_mm,2.2434,0.42554,0.24074,436.158,0,0
4,7,0.5,1,gdmu,21.4695,0.34062,0.10263,191.219,0,0
4,7,0.5,1,knitro,69.0381,1.3438,0.11461,1526.3987,1,20
4,8,0.5,1,fullback_mm,2.0057,0.43685,0.25278,903.9012,0,0
4,8,0.5,1,gdmu,44.5874,0.34327,0.11352,393.4793,0,0
4,8,0.5,1,knitro,100.1614,1.4132,0.14199,5543.7223,1,10
5,5,0.5,1,fullback_mm,3.6679,0.41461,0.24521,837.0248,0,0
5,5,0.5,1,gdmu,9.8114,0.33786,0.090757,327.9768,0,0
5,5,0.5,1,knitro,16.1932,1.3346,0.15134,4088.106,0,0
5,6,0.5,1,fullback_mm,3.3804,0.43672,0.28664,2238.7325,0,0
5,6,0.5,1,gdmu,27.0403,0.33927,0.087897,1100.8987,0,0
5,6,0.5,1,knitro,27.2984,1.0501,0.17732,11552.9165,1,30
5,7,0.5,1,fullback_mm,2.901,0.44233,0.28902,7027.2194,0,0
5,7,0.5,1,gdmu,57.1634,0.34235,0.073886,3631.501,0,0
5,7,0.5,1,knitro,630.8565,1,0.33553,17125.1262,0,0
5,8,0.5,1,fullback_mm,2.4611,0.45398,0.29558,24205.8532,0,0
5,8,0.5,1,gdmu,103.9912,0.34783,0.065603,14872.9064,0,0
