depth,degree,lambda_lb,lambda_ub,method,ll_diff,rel_mu_err,rel_lambda_err,time,infeasible_lambdas,infeasible_type
4,5,0.5,1,fullback_mm,2.9516,0.40679,0.20564,88.2124,0,0
4,5,0.5,1,gdmu,4.4209,0.33499,0.09445,163.2428,0,0
4,5,0.5,1,knitro,281.4762,1.4338,0.1642,82.6157,0,0
4,6,0.5,1,fullback_mm,2.9143,0.42512,0.25222,177.9812,0,0
4,6,0.5,1,gdmu,6.3116,0.33235,0.10735,85.4841,0,0
4,6,0.5,1,knitro,93.7652,1.4865,0.15476,357.9855,1,20
4,7,0.5,1,fullback_mm,2.23,0.42932,0.24547,380.1883,0,0
4,7,0.5,1,gdmu,27.4567,0.33788,0.095001,174.1859,0,0
4,7,0.5,1,knitro,50.8163,1.498,0.15245,1341.5294,1,10
4,8,0.5,1,fullback_mm,2.1776,0.44093,0.26762,778.9167,0,0
4,8,0.5,1,gdmu,58.2878,0.34162,0.084901,357.5248,0,0
4,8,0.5,1,knitro,92.7842,1.8514,0.15845,4896.5824,0,0
5,5,0.5,1,fullback_mm,3.575,0.41906,0.25102,739.53,0,0
5,5,0.5,1,gdmu,10.179,0.33762,0.087951,302.4739,0,0
5,5,0.5,1,knitro,81.6631,1.3495,0.15595,3697.5181,0,0
5,6,0.5,1,fullback_mm,2.9788,0.43071,0.26598,2095.3775,0,0
5,6,0.5,1,gdmu,21.4419,0.34201,0.089061,1035.54,0,0
5,6,0.5,1,knitro,23.7202,1.0596,0.14101,10719.7068,1,30
5,7,0.5,1,fullback_mm,2.8901,0.44296,0.2878,6313.7047,0,0
5,7,0.5,1,gdmu,43.426,0.34087,0.08041,3444.5753,0,0
5,7,0.5,1,knitro,637.0065,1,0.33567,15148.572,0,0
5,8,0.5,1,fullback_mm,2.5078,0.45306,0.29292,21910.0386,0,0
5,8,0.5,1,gdmu,111.9894,0.34847,0.063987,13890.7091,0,0
