depth,degree,lambda_lb,lambda_ub,method,ll_diff,rel_mu_err,rel_lambda_err,time,infeasible_lambdas,infeasible_type
4,5,0.5,1,fullback_mm,2.6842,0.40959,0.20932,93.322,0,0
4,5,0.5,1,gdmu,4.205,0.34149,0.091568,187.7549,0,0
4,5,0.5,1,knitro,463.4973,1.6534,0.1564,86.1487,0,0
4,6,0.5,1,fullback_mm,2.3706,0.41519,0.22593,188.8895,0,0
4,6,0.5,1,gdmu,25.5242,0.33956,0.090708,92.1741,0,0
4,6,0.5,1,knitro,65.3194,1.5092,0.16934,372.7658,0,0
4,7,0.5,1,fullback_mm,2.307,0.42347,0.24271,410.6691,0,0
4,7,0.5,1,gdmu,13.6414,0.33654,0.12203,188.8846,0,0
4,7,0.5,1,knitro,58.3874,1.3422,0.13679,1503.8096,0,0
4,8,0.5,1,fullback_mm,2.2494,0.43521,0.26933,877.8361,0,0
4,8,0.5,1,gdmu,58.1467,0.34438,0.082785,388.9448,0,0
4,8,0.5,1,knitro,107.2831,1.5683,0.12761,5402.0945,1,10
5,5,0.5,1,fullback_mm,3.7273,0.41608,0.24522,796.3644,0,0
5,5,0.5,1,gdmu,20.0818,0.33891,0.085383,316.6267,0,0
5,5,0.5,1,knitro,30.5304,1.3285,0.15404,3901.7509,1,20
5,6,0.5,1,fullback_mm,3.3047,0.43395,0.27589,2182.7799,0,0
5,6,0.5,1,gdmu,35.9834,0.34099,0.080747,1102.9665,0,0
5,6,0.5,1,knitro,13.8819,1.0705,0.15724,11385.5432,1,30
5,7,0.5,1,fullback_mm,2.9405,0.44277,0.29189,6997.8984,0,0
5,7,0.5,1,gdmu,57.1706,0.34095,0.076727,3649.1172,0,0
5,7,0.5,1,knitro,634.1797,1,0.33889,17015.5039,0,0
5,8,0.5,1,fullback_mm,2.5836,0.45127,0.29838,23850.223,0,0
5,8,0.5,1,gdmu,133.5272,0.34968,0.06675,13860.6238,0,0
